Sl. No.,State/UT,By Consuming Sleeping Pills - Male,By Consuming Sleeping Pills - Female,By Consuming Sleeping Pills - Transgender,By Consuming Sleeping Pills - Total,By Drowning - Male,By Drowning - Femal,By Drowning - Transgender,By Drowning - Total,By Fire/Self Immolation - Male,By Fire/Self Immolation - Femal,By Fire/Self Immolation - Transgender,By Fire/Self Immolation - Total,By Firearms - Male,By Firearms - Female,By Firearms - Transgender,By Firearms - Total,By Hanging - Male,By Hanging - Femal,By Hanging - Transgender,By Hanging - Total,By Hanging - Male,By Hanging - Femal,By Hanging - Transgender,By Hanging - Total,By Poison (By Consuming Insecticides) - Male,By Poison (By Consuming Insecticides) - Female,By Poison (By Consuming Insecticides) - Transgender,By Poison (By Consuming Insecticides) - Total,By Poison (By Consuming other Poison) - Male,By Poison (By Consuming other Poison) - Femal,By Poison (By Consuming other Poison) - Transgender,By Poison (By Consuming other Poison) - Total,By Self Inflicting Injury - Male,By Self Inflicting Injury - Femal,By Self Inflicting Injury - Transgender,By Self Inflicting Injury - Total,Jumping (Total) - Male,Jumping (Total) - Female,Jumping (Total) - Transgender,Jumping (Total) - Total,Jumping (from Building) - Male,Jumping (from Building) - Femal,Jumping (from Building) - Transgender,Jumping (from Building) - Total,Jumping (from Other Sites) - Male,Jumping (from Other Sites) - Femal,Jumping (from Other Sites) - Transgender,Jumping (from Other Sites) - Total,Jumping (by Jumping off Moving Trains/Vehicles) - Male,Jumping (by Jumping off Moving Trains/Vehicles) - Female,Jumping (by Jumping off Moving Trains/Vehicles) - Transgender,Jumping (by Jumping off Moving Trains/Vehicles) - Total,By Coming under Running Vehicles/Trains - Male,By Coming under Running Vehicles/Trains - Femal,By Coming under Running Vehicles/Trains - Transgender,By Coming under Running Vehicles/Trains - Total,By Touching Electric Wire - Male,By Touching Electric Wire - Femal,By Touching Electric Wire - Transgender,By Touching Electric Wire - Total,By Other Means - Male,By Other Means - Female,By Other Means - Transgender,By Other Means - Total,Total - Male,Total - Femal,Total - Transgender,Total
11,Karnataka,39,9,0,48,691,350,0,1041,71,53,0,124,14,1,0,15,6489,1919,0,8408,2082,696,1,2779,1742,551,1,2294,340,145,0,485,21,2,0,23,66,24,0,90,62,21,0,83,4,3,0,7,0,0,0,0,640,99,0,739,6,1,0,7,243,89,0,332,10362,3243,1,13606
12,Kerala,14,14,0,28,231,201,0,432,136,220,0,356,1,12,0,13,6549,1405,2,7956,823,221,0,1044,554,148,0,702,269,73,0,342,29,7,0,36,71,16,0,87,20,8,0,28,0,2,0,2,51,6,0,57,144,21,0,165,1,1,0,2,32,11,0,43,8031,2129,2,10162
13,Madhya Pradesh,27,14,0,41,330,180,0,510,77,198,0,275,39,3,0,42,6807,2630,0,9437,2842,1604,0,4446,1865,1024,0,2889,977,580,0,1557,26,7,0,33,121,51,0,172,31,16,0,47,16,19,0,35,74,16,0,90,150,30,0,180,21,14,0,35,127,88,0,215,10567,4819,0,15386
14,Maharashtra,94,27,0,121,1204,461,0,1665,133,125,0,258,6,3,0,9,11939,2789,2,14730,4049,1007,0,5056,3376,819,0,4195,673,188,0,861,55,16,0,71,195,74,0,269,106,65,0,171,22,6,0,28,67,3,0,70,370,48,0,418,5,0,0,5,117,27,0,144,18167,4577,2,22746
15,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,14,9,0,23,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,26
16,Meghalaya,1,1,0,2,9,1,0,10,0,0,0,0,0,0,0,0,149,43,0,192,1,1,0,2,1,1,0,2,0,0,0,0,2,1,0,3,1,2,0,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,164,49,0,213
17,Mizoram,0,0,0,0,8,0,0,8,2,0,0,2,3,0,0,3,111,18,0,129,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,135,18,0,153
18,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,39,8,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,10,0,49
19,Odisha,0,0,0,0,81,151,0,232,107,79,0,186,1,0,0,1,1060,2149,0,3209,800,1611,0,2411,0,0,0,0,800,1611,0,2411,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,30,0,0,30,71,0,0,71,0,0,0,0,0,0,0,0,2150,3990,0,6140
20,Punjab,2,0,0,2,168,42,0,210,12,3,0,15,20,0,0,20,998,297,0,1295,449,142,1,592,316,95,1,412,133,47,0,180,12,1,0,13,2,5,0,7,1,5,0,6,1,0,0,1,0,0,0,0,264,20,0,284,1,0,0,1,1,1,0,2,1929,511,1,2441
21,Rajasthan,23,9,0,32,249,107,0,356,22,7,0,29,18,0,0,18,2698,912,0,3610,465,278,0,743,248,172,0,420,217,106,0,323,25,7,0,32,172,39,0,211,46,10,0,56,33,10,0,43,93,19,0,112,214,37,0,251,27,11,0,38,12,11,0,23,3925,1418,0,5343
22,Sikkim,0,0,0,0,5,0,0,5,0,1,0,1,0,0,0,0,198,66,0,264,2,0,0,2,1,0,0,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,18,0,0,18,226,67,0,293
23,Tamil Nadu,65,46,0,111,208,208,0,416,385,465,0,850,9,0,0,9,7775,2917,10,10702,5523,1908,6,7437,1410,375,0,1785,4113,1533,6,5652,40,12,0,52,46,11,0,57,36,8,0,44,8,3,0,11,2,0,0,2,143,18,0,161,6,0,0,6,19,14,0,33,14219,5599,16,19834
24,Telangana,10,23,0,33,779,147,0,926,140,56,0,196,0,0,0,0,2045,958,0,3003,4094,948,0,5042,3776,764,0,4540,318,184,0,502,7,1,0,8,74,20,0,94,60,15,0,75,10,4,0,14,4,1,0,5,583,42,0,625,1,0,0,1,36,16,0,52,7769,2211,0,9980
25,Tripura,0,0,0,0,11,2,0,13,3,8,0,11,1,0,0,1,440,163,0,603,32,24,0,56,31,24,0,55,1,0,0,1,0,2,0,2,16,9,0,25,0,0,0,0,0,0,0,0,16,9,0,25,1,1,0,2,0,0,0,0,0,0,0,0,504,209,0,713
26,Uttar Pradesh,92,47,0,139,167,80,0,247,44,59,0,103,58,19,0,77,3652,2189,0,5841,460,251,0,711,260,144,0,404,200,107,0,307,88,34,0,122,93,46,0,139,41,10,0,51,15,11,0,26,37,25,0,62,131,25,0,156,112,28,0,140,328,173,0,501,5225,2951,0,8176
27,Uttarakhand,1,0,0,1,31,9,0,40,4,2,0,6,2,21,0,23,260,158,0,418,164,75,0,239,83,25,0,108,81,50,0,131,0,0,0,0,10,4,0,14,9,1,0,10,0,0,0,0,1,3,0,4,53,1,0,54,2,2,0,4,11,4,0,15,538,276,0,814
28,West Bengal,7,0,0,7,191,103,0,294,33,176,0,209,0,0,0,0,3693,2132,0,5825,1578,825,0,2403,300,175,0,475,1278,650,0,1928,0,0,0,0,17,10,0,27,1,1,0,2,10,6,0,16,6,3,0,9,22,4,0,26,1,4,0,5,2483,1390,0,3873,8025,4644,0,12669
Total (States),Total (States),435,234,0,669,5860,2600,0,8460,1364,1737,0,3101,219,66,0,285,69705,26227,16,95948,30356,12588,9,42953,18871,6442,2,25315,11485,6146,7,17638,463,146,0,609,1424,445,0,1869,586,218,0,804,166,74,0,240,672,153,0,825,4271,588,1,4860,327,87,0,414,4808,2204,1,7013,119232,46922,27,166181
29,Andaman and Nicobar Islands,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,129,31,0,160,8,0,0,8,5,0,0,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,31,0,171
30,Chandigarh,0,0,0,0,3,0,0,3,1,0,0,1,1,0,0,1,79,37,0,116,5,3,0,8,0,0,0,0,5,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,91,40,0,131
31,Dadra and Nagar Haveli and Daman and Diu,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,116,51,0,167,22,5,0,27,18,4,0,22,4,1,0,5,0,0,0,0,6,2,0,8,0,1,0,1,6,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,58,0,205
32,Delhi (UT),54,21,0,75,42,1,0,43,16,4,0,20,16,0,0,16,1866,643,0,2509,125,74,0,199,65,33,0,98,60,41,0,101,33,6,0,39,50,12,0,62,44,12,0,56,1,0,0,1,5,0,0,5,15,5,0,20,5,0,0,5,336,93,0,429,2558,859,0,3417
33,Jammu and Kashmir,3,4,0,7,9,1,0,10,7,3,0,10,21,0,0,21,75,52,0,127,56,67,0,123,23,26,0,49,33,41,0,74,0,0,0,0,6,1,0,7,0,1,0,1,6,0,0,6,0,0,0,0,0,0,0,0,1,3,0,4,7,7,0,14,185,138,0,323
34,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,13
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
36,Puducherry,1,0,0,1,3,2,0,5,5,1,0,6,0,0,0,0,287,86,0,373,46,22,1,69,0,0,0,0,46,22,1,69,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,26,357,123,1,481
Total (UTs),Total (UTs),59,25,0,84,59,4,0,63,32,8,0,40,38,0,0,38,2566,901,0,3467,262,171,1,434,111,63,0,174,151,108,1,260,33,6,0,39,62,16,0,78,44,15,0,59,13,1,0,14,5,0,0,5,15,5,0,20,6,3,0,9,360,111,0,471,3492,1250,1,4743
Total (All India),Total (All India),494,259,0,753,5919,2604,0,8523,1396,1745,0,3141,257,66,0,323,72271,27128,16,99415,30618,12759,10,43387,18982,6505,2,25489,11636,6254,8,17898,496,152,0,648,1486,461,0,1947,630,233,0,863,179,75,0,254,677,153,0,830,4286,593,1,4880,333,90,0,423,5168,2315,1,7484,122724,48172,28,170924
