Sl. No.,State/UT,House wife - Male,House wife - Female,House wife - Transgender,House wife - Total,Professionals/Salaried Persons (Total) - Male,Professionals/Salaried Persons (Total) - Female,Professionals/Salaried Persons (Total) - Transgender,Professionals/Salaried Persons (Total) - Total,Professionals/Salaried Persons (Total) - Male,Professionals/Salaried Persons (Total) - Female,Professionals/Salaried Persons (Total) - Transgender,Professionals/Salaried Persons (Total) - Total,Professionals/Salaried Persons - Government Servants(Central/UT Govt. Servants) - Male,Professionals/Salaried Persons - Government Servants(Central/UT Govt. Servants) - Female,Professionals/Salaried Persons - Government Servants(Central/UT Govt. Servants) - Transgender,Professionals/Salaried Persons - Government Servants(Central/UT Govt. Servants) - Total,Professionals/Salaried Persons - Government Servants(State Govt. Servants) - Male,Professionals/Salaried Persons - Government Servants(State Govt. Servants) - Female,Professionals/Salaried Persons - Government Servants(State Govt. Servants) - Transgender,Professionals/Salaried Persons - Government Servants(State Govt. Servants) - Total,Professionals/Salaried Persons - Government Servants (Other Statutory Body) - Male,Professionals/Salaried Persons - Government Servants (Other Statutory Body) - Female,Professionals/Salaried Persons - Government Servants (Other Statutory Body) - Transgender,Professionals/Salaried Persons - Government Servants (Other Statutory Body) - Total,Professionals/Salaried Persons (Private Sector Enterprises) - Male,Professionals/Salaried Persons (Private Sector Enterprises) - Female,Professionals/Salaried Persons (Private Sector Enterprises) - Transgender,Professionals/Salaried Persons (Private Sector Enterprises) - Total,Professionals/Salaried Persons (Public Sector Undertaking) - Male,Professionals/Salaried Persons (Public Sector Undertaking) - Female,Professionals/Salaried Persons (Public Sector Undertaking) - Transgender,Professionals/Salaried Persons (Public Sector Undertaking) - Total,Students - Male,Students - Female,Students - Transgender,Students - Total,Unemployed Persons - Male,Unemployed Persons - Female,Unemployed Persons - Transgender,Unemployed Persons - Total,Self-employed Persons(Total) - Male,Self-employed Persons(Total) - Female,Self-employed Persons(Total) - Transgender,Self-employed Persons(Total) - Total,Self-employed Persons - Business (Total) - Male,Self-employed Persons - Business (Total) - Female,Self-employed Persons - Business (Total) - Transgender,Self-employed Persons - Business (Total) - Total,Self-employed Persons - Business(Vendor) - Male,Self-employed Persons - Business(Vendor) - Female,Self-employed Persons - Business(Vendor) - Transgender,Self-employed Persons - Business(Vendor) - Total,Self-employed Persons - Business(Tradesmen) - Male,Self-employed Persons - Business(Tradesmen) - Female,Self-employed Persons - Business(Tradesmen) - Transgender,Self-employed Persons - Business(Tradesmen) - Total,Self-employed Persons - Business(Other Business) - Male,Self-employed Persons - Business(Other Business) - Female,Self-employed Persons - Business(Other Business) - Transgender,Self-employed Persons - Business(Other Business) - Total,Other Self-employed Persons - Male,Other Self-employed Persons - Female,Other Self-employed Persons - Transgender,Other Self-employed Persons - Total,Persons Engaged in Farming Sector (Total) - Male,Persons Engaged in Farming Sector (Total) - Female,Persons Engaged in Farming Sector (Total) - Transgender,Persons Engaged in Farming Sector (Total) - Total,Persons Engaged in Farming Sector - Farmers/Cultivators (Total) - Male,Persons Engaged in Farming Sector - Farmers/Cultivators (Total) - Female,Persons Engaged in Farming Sector - Farmers/Cultivators (Total) - Transgender,Persons Engaged in Farming Sector - Farmers/Cultivators (Total) - Total,Farmers/Cultivators (Who Cultivate Their Own Land) - Male,Farmers/Cultivators (Who Cultivate Their Own Land) - Female,Farmers/Cultivators (Who Cultivate Their Own Land) - Transgender,Farmers/Cultivators (Who Cultivate Their Own Land) - Total,Farmers/Cultivators (Who Cultivate On Lease Land) - Male,Farmers/Cultivators (Who Cultivate On Lease Land) - Female,Farmers/Cultivators (Who Cultivate On Lease Land) - Transgender,Farmers/Cultivators (Who Cultivate On Lease Land) - Total,Persons engaged in Farming Sector (Agricultural Laborers) - Male,Persons engaged in Farming Sector (Agricultural Laborers) - Female,Persons engaged in Farming Sector (Agricultural Laborers) - Transgender,Persons engaged in Farming Sector (Agricultural Laborers) - Total,Daily Wage Earner - Male,Daily Wage Earner - Female,Daily Wage Earner - Transgender,Daily Wage Earner - Total,Retired Persons - Male,Retired Persons - Female,Retired Persons - Transgender,Retired Persons - Total,Retired Persons - Male,Retired Persons - Female,Retired Persons - Transgender,Retired Persons - Total,Total - Male,Total - Female,Total - Transgender,Total
11,Karnataka,NA,1893,0,1893,1239,227,0,1466,140,29,0,169,19,3,0,22,68,18,0,86,53,8,0,61,991,174,0,1165,108,24,0,132,386,348,0,734,1055,181,0,1236,2527,120,0,2647,2428,110,0,2538,1285,75,0,1360,1071,28,0,1099,72,7,0,79,99,10,0,109,2201,191,0,2392,1278,45,0,1323,953,32,0,985,325,13,0,338,923,146,0,1069,2373,229,0,2602,131,12,0,143,450,42,1,493,10362,3243,1,13606
12,Kerala,NA,1089,0,1089,1063,110,0,1173,58,13,0,71,6,2,0,8,43,6,0,49,9,5,0,14,914,90,0,1004,91,7,0,98,248,237,0,485,1764,440,0,2204,961,30,0,991,627,10,0,637,302,6,0,308,256,3,0,259,69,1,0,70,334,20,0,354,224,9,0,233,27,0,0,27,18,0,0,18,9,0,0,9,197,9,0,206,3421,190,2,3613,161,14,0,175,189,10,0,199,8031,2129,2,10162
13,Madhya Pradesh,NA,2684,0,2684,1210,139,0,1349,150,13,0,163,26,1,0,27,92,11,0,103,32,1,0,33,865,61,0,926,195,65,0,260,699,641,0,1340,596,216,0,812,1316,61,0,1377,760,49,0,809,375,39,0,414,294,10,0,304,91,0,0,91,556,12,0,568,608,33,0,641,90,2,0,92,80,2,0,82,10,0,0,10,518,31,0,549,4720,651,0,5371,22,1,0,23,1396,393,0,1789,10567,4819,0,15386
14,Maharashtra,NA,2698,0,2698,2611,247,0,2858,259,27,0,286,40,11,0,51,158,13,0,171,61,3,0,64,1885,122,0,2007,467,98,0,565,1017,747,0,1764,1551,141,2,1694,1927,68,0,1995,1658,44,0,1702,864,27,0,891,408,6,0,414,386,11,0,397,269,24,0,293,4009,239,0,4248,2587,121,0,2708,2358,90,0,2448,229,31,0,260,1422,118,0,1540,5971,304,0,6275,265,8,0,273,816,125,0,941,18167,4577,2,22746
15,Manipur,NA,7,0,7,4,1,0,5,4,1,0,5,4,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5,7,1,0,8,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,26
16,Meghalaya,NA,16,0,16,13,4,0,17,6,1,0,7,3,0,0,3,2,1,0,3,1,0,0,1,4,2,0,6,3,1,0,4,20,22,0,42,63,2,0,65,7,3,0,10,7,3,0,10,5,2,0,7,2,1,0,3,0,0,0,0,0,0,0,0,6,1,0,7,6,1,0,7,6,1,0,7,0,0,0,0,0,0,0,0,55,1,0,56,0,0,0,0,0,0,0,0,164,49,0,213
17,Mizoram,NA,7,0,7,3,0,0,3,3,0,0,3,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,24,100,9,0,109,2,0,0,2,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,135,18,0,153
18,Nagaland,NA,5,0,5,4,0,0,4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,4,3,0,7,12,2,0,14,13,0,0,13,7,0,0,7,5,0,0,5,2,0,0,2,0,0,0,0,6,0,0,6,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,4,1,0,0,1,0,0,0,0,39,10,0,49
19,Odisha,NA,2691,0,2691,132,67,0,199,42,11,0,53,2,1,0,3,38,10,0,48,2,0,0,2,87,34,0,121,3,22,0,25,50,56,0,106,527,88,0,615,329,30,0,359,42,13,0,55,0,0,0,0,30,0,0,30,12,13,0,25,287,17,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,1058,0,2170,2150,3990,0,6140
20,Punjab,NA,354,0,354,303,20,0,323,53,7,0,60,21,2,0,23,28,5,0,33,4,0,0,4,196,13,0,209,54,0,0,54,82,68,0,150,154,28,0,182,217,5,0,222,125,1,0,126,69,1,0,70,41,0,0,41,15,0,0,15,92,4,0,96,204,0,0,204,157,0,0,157,136,0,0,136,21,0,0,21,47,0,0,47,835,26,1,862,13,0,0,13,121,10,0,131,1929,511,1,2441
21,Rajasthan,NA,836,0,836,495,63,0,558,78,17,0,95,23,0,0,23,36,7,0,43,19,10,0,29,350,37,0,387,67,9,0,76,334,237,0,571,542,100,0,642,919,69,0,988,708,46,0,754,281,14,0,295,140,12,0,152,287,20,0,307,211,23,0,234,225,14,0,239,0,0,0,0,0,0,0,0,0,0,0,0,225,14,0,239,1353,76,0,1429,18,0,0,18,39,23,0,62,3925,1418,0,5343
22,Sikkim,NA,38,0,38,36,2,0,38,19,2,0,21,5,0,0,5,10,2,0,12,4,0,0,4,17,0,0,17,0,0,0,0,17,12,0,29,72,11,0,83,29,1,0,30,4,1,0,5,0,0,0,0,2,1,0,3,2,0,0,2,25,0,0,25,5,2,0,7,1,0,0,1,1,0,0,1,0,0,0,0,4,2,0,6,42,0,0,42,4,1,0,5,21,0,0,21,226,67,0,293
23,Tamil Nadu,NA,3093,0,3093,1555,297,0,1852,321,43,0,364,43,6,0,49,237,31,0,268,41,6,0,47,813,202,0,1015,421,52,0,473,583,832,1,1416,1452,416,7,1875,2417,130,0,2547,1364,73,0,1437,540,38,0,578,229,3,0,232,595,32,0,627,1053,57,0,1110,681,47,0,728,114,8,0,122,83,7,0,90,31,1,0,32,567,39,0,606,7190,680,6,7876,103,9,0,112,238,95,2,335,14219,5599,16,19834
24,Telangana,NA,757,0,757,726,135,0,861,58,11,0,69,2,2,0,4,53,9,0,62,3,0,0,3,609,105,0,714,59,19,0,78,306,237,0,543,114,19,0,133,1512,94,0,1606,620,46,0,666,318,38,0,356,50,0,0,50,252,8,0,260,892,48,0,940,173,5,0,178,173,5,0,178,173,5,0,178,0,0,0,0,0,0,0,0,4135,378,0,4513,21,3,0,24,782,583,0,1365,7769,2211,0,9980
25,Tripura,NA,132,0,132,16,2,0,18,7,1,0,8,5,0,0,5,1,1,0,2,1,0,0,1,9,1,0,10,0,0,0,0,34,42,0,76,19,14,0,33,125,4,0,129,125,4,0,129,77,4,0,81,38,0,0,38,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,15,0,325,0,0,0,0,0,0,0,0,504,209,0,713
26,Uttar Pradesh,NA,1631,0,1631,633,75,0,708,71,1,0,72,4,0,0,4,22,1,0,23,45,0,0,45,447,45,0,492,115,29,0,144,626,434,0,1060,1294,247,0,1541,972,39,0,1011,623,30,0,653,324,15,0,339,147,8,0,155,152,7,0,159,349,9,0,358,352,61,0,413,45,13,0,58,28,10,0,38,17,3,0,20,307,48,0,355,441,49,0,490,31,0,0,31,876,415,0,1291,5225,2951,0,8176
27,Uttarakhand,NA,168,0,168,190,49,0,239,19,49,0,68,2,0,0,2,6,1,0,7,11,48,0,59,159,0,0,159,12,0,0,12,33,27,0,60,56,14,0,70,119,0,0,119,101,0,0,101,37,0,0,37,27,0,0,27,37,0,0,37,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,13,0,39,10,0,0,10,104,5,0,109,538,276,0,814
28,West Bengal,NA,1978,0,1978,679,155,0,834,84,20,0,104,13,0,0,13,26,4,0,30,45,16,0,61,345,71,0,416,250,64,0,314,185,169,0,354,140,9,0,149,1064,198,0,1262,676,161,0,837,87,82,0,169,87,35,0,122,502,44,0,546,388,37,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933,55,0,988,30,0,0,30,4994,2080,0,7074,8025,4644,0,12669
Total (States),Total (States),NA,24829,0,24829,13788,1920,0,15708,1800,284,0,2084,322,32,0,354,1078,154,0,1232,400,98,0,498,9882,1183,0,11065,2106,453,0,2559,6636,5885,1,12522,12417,2342,9,14768,17694,1073,1,18768,11740,669,1,12410,5306,377,0,5683,3532,134,0,3666,2902,158,1,3061,5954,404,0,6358,10451,814,0,11265,4989,208,0,5197,4251,157,0,4408,738,51,0,789,5462,606,0,6068,40978,3726,9,44713,1185,103,0,1288,16083,6230,7,22320,119232,46922,27,166181
29,Aandaman and Nicobar Islands,NA,15,0,15,64,4,0,68,19,3,0,22,14,3,0,17,0,0,0,0,5,0,0,5,45,1,0,46,0,0,0,0,11,5,0,16,5,4,0,9,24,2,0,26,8,2,0,10,1,1,0,2,1,0,0,1,6,1,0,7,16,0,0,16,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,19,0,0,19,2,0,0,2,14,1,0,15,140,31,0,171
30,Chandigarh,NA,21,0,21,16,0,0,16,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,0,10,10,0,20,8,6,0,14,13,2,0,15,12,0,0,12,7,0,0,7,0,0,0,0,5,0,0,5,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,39,1,0,0,1,5,0,0,5,91,40,0,131
31,Dadra and Nagar Haveli and Daman and Diu,NA,24,0,24,13,1,0,14,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,11,1,0,12,0,0,0,0,19,20,0,39,23,3,0,26,68,2,0,70,5,0,0,5,1,0,0,1,1,0,0,1,3,0,0,3,63,2,0,65,15,5,0,20,9,0,0,9,9,0,0,9,0,0,0,0,6,5,0,11,8,1,0,9,1,0,0,1,0,2,0,2,147,58,0,205
32,Delhi (UT),NA,387,0,387,441,41,0,482,20,0,0,20,10,0,0,10,2,0,0,2,8,0,0,8,285,24,0,309,136,17,0,153,226,159,0,385,665,108,0,773,520,42,0,562,361,32,0,393,242,5,0,247,42,7,0,49,77,20,0,97,159,10,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,22,0,361,15,1,0,16,352,99,0,451,2558,859,0,3417
33,Jammu and Kashmir,NA,32,0,32,41,1,0,42,33,1,0,34,28,0,0,28,3,1,0,4,2,0,0,2,8,0,0,8,0,0,0,0,21,24,0,45,58,26,0,84,7,0,0,7,4,0,0,4,0,0,0,0,1,0,0,1,3,0,0,3,3,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,2,0,8,1,0,0,1,50,53,0,103,185,138,0,323
34,Ladakh,NA,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,1,4,0,0,4,4,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,13
35,Lakshadweep,NA,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
36,Puducherry,NA,0,0,0,30,2,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,32,0,0,0,0,4,10,0,14,96,12,0,108,26,5,0,31,6,0,0,6,0,0,0,0,0,0,0,0,6,0,0,6,20,5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,45,3,0,0,3,153,94,1,248,357,123,1,481
Total (UTs),Total (UTs),NA,480,0,480,607,49,0,656,78,4,0,82,57,3,0,60,6,1,0,7,15,0,0,15,393,28,0,421,136,17,0,153,294,228,0,522,856,159,0,1015,663,53,0,716,400,34,0,434,251,6,0,257,49,7,0,56,100,21,0,121,263,19,0,282,20,5,0,25,10,0,0,10,10,0,0,10,0,0,0,0,10,5,0,15,455,26,0,481,23,1,0,24,574,249,1,824,3492,1250,1,4743
Total (All India),Total (All India),NA,25309,0,25309,14395,1969,0,16364,1878,288,0,2166,379,35,0,414,1084,155,0,1239,415,98,0,513,10275,1211,0,11486,2242,470,0,2712,6930,6113,1,13044,13273,2501,9,15783,18357,1126,1,19484,12140,703,1,12844,5557,383,0,5940,3581,141,0,3722,3002,179,1,3182,6217,423,0,6640,10471,819,0,11290,4999,208,0,5207,4261,157,0,4418,738,51,0,789,5472,611,0,6083,41433,3752,9,45194,1208,104,0,1312,16657,6479,8,23144,122724,48172,28,170924
